date_id,Date,Year,Month
1,2/19/2016,2016,February
2,2/20/2016,2016,February
3,2/27/2016,2016,February
4,3/12/2016,2016,March
5,4/8/2016,2016,April
6,4/17/2016,2016,April
7,6/22/2016,2016,June
8,6/24/2016,2016,June
9,7/1/2016,2016,July
10,7/22/2016,2016,July
11,8/18/2015,2015,August
12,8/30/2015,2015,August
13,9/17/2015,2015,September
14,9/24/2015,2015,September
15,10/7/2015,2015,October
16,10/13/2015,2015,October
17,10/20/2015,2015,October
18,11/1/2015,2015,November
19,11/15/2015,2015,November
20,12/15/2015,2015,December
21,12/16/2015,2015,December
22,12/20/2015,2015,December
23,12/25/2015,2015,December
24,12/29/2015,2015,December
25,7/22/2015,2015,July
26,10/10/2015,2015,October
27,6/11/2016,2016,June
28,8/13/2015,2015,August
29,9/10/2015,2015,September
30,12/21/2015,2015,December
31,7/27/2015,2015,July
32,2/7/2016,2016,February
33,7/24/2015,2015,July
34,3/20/2016,2016,March
35,3/21/2016,2016,March
36,5/6/2016,2016,May
37,6/6/2016,2016,June
38,6/9/2016,2016,June
39,8/20/2015,2015,August
40,8/21/2015,2015,August
41,9/27/2015,2015,September
42,1/27/2016,2016,January
43,1/25/2016,2016,January
44,1/26/2016,2016,January
45,5/20/2016,2016,May
46,7/26/2015,2015,July
47,12/6/2015,2015,December
48,10/5/2015,2015,October
49,7/18/2015,2015,July
50,7/25/2015,2015,July
51,12/4/2015,2015,December
52,7/16/2015,2015,July
53,8/14/2015,2015,August
54,12/28/2015,2015,December
55,3/26/2016,2016,March
56,5/24/2016,2016,May
57,7/8/2015,2015,July
58,7/13/2015,2015,July
59,8/8/2015,2015,August
60,8/29/2015,2015,August
61,1/16/2016,2016,January
62,7/31/2015,2015,July
63,2/13/2016,2016,February
64,7/7/2016,2016,July
65,7/8/2016,2016,July
66,9/4/2015,2015,September
67,9/6/2015,2015,September
68,10/22/2015,2015,October
69,3/22/2016,2016,March
70,5/3/2016,2016,May
71,6/28/2016,2016,June
72,7/3/2016,2016,July
73,10/27/2015,2015,October
74,10/31/2015,2015,October
75,12/2/2015,2015,December
76,1/10/2016,2016,January
77,1/13/2016,2016,January
78,8/16/2015,2015,August
79,11/17/2015,2015,November
80,7/29/2015,2015,July
81,9/30/2015,2015,September
82,7/14/2015,2015,July
83,10/8/2015,2015,October
84,7/12/2015,2015,July
85,8/1/2015,2015,August
86,10/21/2015,2015,October
87,12/17/2015,2015,December
88,4/4/2016,2016,April
89,4/2/2015,2015,April
90,8/22/2015,2015,August
91,8/25/2015,2015,August
92,5/13/2016,2016,May
93,10/9/2015,2015,October
94,11/26/2015,2015,November
95,4/16/2016,2016,April
96,3/27/2016,2016,March
97,7/20/2015,2015,July
98,11/5/2015,2015,November
99,3/28/2016,2016,March
100,1/5/2016,2016,January
101,3/1/2016,2016,March
102,7/20/2016,2016,July
103,9/13/2015,2015,September
104,2/11/2016,2016,February
105,4/11/2016,2016,April
106,4/18/2016,2016,April
107,4/20/2016,2016,April
108,4/26/2016,2016,April
109,5/4/2016,2016,May
110,5/29/2016,2016,May
111,7/10/2016,2016,July
112,7/24/2016,2016,July
113,12/19/2015,2015,December
114,4/7/2016,2016,April
115,8/9/2015,2015,August
116,11/10/2015,2015,November
117,11/29/2015,2015,November
118,1/8/2016,2016,January
119,5/9/2016,2016,May
120,6/10/2016,2016,June
121,4/24/2016,2016,April
122,1/21/2016,2016,January
123,1/2/2016,2016,January
124,1/31/2016,2016,January
125,9/5/2015,2015,September
126,3/6/2016,2016,March
127,5/14/2016,2016,May
128,6/13/2016,2016,June
129,8/27/2015,2015,August
130,9/18/2015,2015,September
131,11/8/2015,2015,November
132,5/1/2016,2016,May
133,7/27/2016,2016,July
134,7/19/2015,2015,July
135,6/15/2016,2016,June
136,3/29/2016,2016,March
137,4/10/2016,2016,April
138,6/5/2016,2016,June
139,1/13/2015,2015,January
140,1/15/2015,2015,January
141,12/5/2015,2015,December
142,3/9/2016,2016,March
143,1/15/2016,2016,January
144,1/29/2016,2016,January
145,4/2/2016,2016,April
146,9/3/2015,2015,September
147,10/2/2015,2015,October
148,12/7/2015,2015,December
149,2/12/2016,2016,February
150,1/17/2016,2016,January
151,1/9/2016,2016,January
152,1/18/2016,2016,January
153,2/4/2016,2016,February
154,3/19/2016,2016,March
155,3/23/2016,2016,March
156,4/13/2016,2016,April
157,4/14/2016,2016,April
158,4/21/2016,2016,April
159,5/8/2016,2016,May
160,6/1/2016,2016,June
161,7/17/2016,2016,July
162,8/12/2015,2015,August
163,9/11/2015,2015,September
164,10/30/2015,2015,October
165,11/24/2015,2015,November
166,12/10/2015,2015,December
167,12/26/2015,2015,December
168,7/2/2015,2015,July
169,10/6/2015,2015,October
170,11/13/2015,2015,November
171,1/11/2016,2016,January
172,2/23/2016,2016,February
173,3/30/2016,2016,March
174,5/21/2016,2016,May
175,3/6/2015,2015,March
176,3/23/2015,2015,March
177,3/30/2015,2015,March
178,7/9/2015,2015,July
179,11/27/2015,2015,November
180,12/8/2015,2015,December
181,1/20/2016,2016,January
182,1/24/2016,2016,January
183,2/3/2016,2016,February
184,4/28/2016,2016,April
185,4/29/2016,2016,April
186,7/28/2016,2016,July
187,6/8/2015,2015,June
188,6/17/2015,2015,June
189,6/21/2015,2015,June
190,6/30/2015,2015,June
191,8/4/2015,2015,August
192,9/2/2015,2015,September
193,9/25/2015,2015,September
194,10/25/2015,2015,October
195,11/19/2015,2015,November
196,11/28/2015,2015,November
197,12/11/2015,2015,December
198,7/1/2015,2015,July
199,9/28/2015,2015,September
200,7/5/2015,2015,July
201,2/17/2016,2016,February
202,6/3/2016,2016,June
203,6/18/2016,2016,June
204,12/1/2015,2015,December
205,12/30/2015,2015,December
206,6/20/2016,2016,June
207,5/26/2016,2016,May
208,6/16/2016,2016,June
209,10/17/2015,2015,October
210,7/4/2015,2015,July
211,6/12/2016,2016,June
212,11/3/2015,2015,November
213,11/22/2015,2015,November
214,4/1/2016,2016,April
215,2/2/2015,2015,February
216,1/28/2016,2016,January
217,2/1/2016,2016,February
218,3/7/2016,2016,March
219,5/30/2016,2016,May
220,6/17/2016,2016,June
221,6/25/2016,2016,June
222,7/12/2016,2016,July
223,7/21/2016,2016,July
224,5/20/2015,2015,May
225,10/1/2015,2015,October
226,11/21/2015,2015,November
227,12/18/2015,2015,December
228,6/2/2016,2016,June
229,8/28/2015,2015,August
230,1/14/2016,2016,January
231,2/9/2016,2016,February
232,2/10/2016,2016,February
233,7/2/2016,2016,July
234,1/30/2016,2016,January
235,7/15/2015,2015,July
236,8/10/2015,2015,August
237,9/9/2015,2015,September
238,9/16/2015,2015,September
239,2/18/2016,2016,February
240,2/24/2016,2016,February
241,3/31/2016,2016,March
242,4/19/2016,2016,April
243,5/23/2016,2016,May
244,6/4/2015,2015,June
245,7/28/2015,2015,July
246,10/18/2015,2015,October
247,12/13/2015,2015,December
248,8/2/2015,2015,August
249,4/27/2016,2016,April
250,8/6/2015,2015,August
251,8/31/2015,2015,August
252,9/19/2015,2015,September
253,5/28/2016,2016,May
254,9/21/2015,2015,September
255,1/3/2016,2016,January
256,2/14/2016,2016,February
257,3/16/2016,2016,March
258,4/15/2016,2016,April
259,6/19/2016,2016,June
260,11/18/2015,2015,November
261,11/23/2015,2015,November
262,12/12/2015,2015,December
263,6/4/2016,2016,June
264,4/4/2015,2015,April
265,5/9/2015,2015,May
266,5/16/2015,2015,May
267,3/11/2016,2016,March
268,7/16/2016,2016,July
269,8/3/2015,2015,August
270,8/24/2015,2015,August
271,11/7/2015,2015,November
272,9/12/2015,2015,September
273,7/10/2015,2015,July
274,1/6/2016,2016,January
275,3/31/2015,2015,March
276,7/23/2015,2015,July
277,7/3/2015,2015,July
278,4/10/2015,2015,April
279,4/30/2015,2015,April
280,7/6/2015,2015,July
281,7/7/2015,2015,July
282,4/25/2015,2015,April
283,8/15/2015,2015,August
284,11/2/2015,2015,November
285,1/23/2016,2016,January
286,2/22/2016,2016,February
287,5/5/2016,2016,May
288,2/28/2016,2016,February
289,9/8/2015,2015,September
290,9/1/2015,2015,September
291,4/20/2015,2015,April
292,8/7/2015,2015,August
293,5/7/2015,2015,May
294,7/4/2016,2016,July
295,3/14/2016,2016,March
296,4/30/2016,2016,April
297,8/26/2015,2015,August
298,5/1/2015,2015,May
299,10/4/2015,2015,October
300,2/5/2016,2016,February
301,2/6/2016,2016,February
302,5/21/2015,2015,May
303,3/10/2016,2016,March
304,10/11/2015,2015,October
305,3/8/2016,2016,March
306,5/11/2015,2015,May
307,11/6/2015,2015,November
308,5/8/2015,2015,May
309,6/30/2016,2016,June
310,6/12/2015,2015,June
311,6/27/2015,2015,June
312,4/22/2016,2016,April
313,7/21/2015,2015,July
314,9/14/2015,2015,September
315,10/23/2015,2015,October
316,6/21/2016,2016,June
317,6/26/2016,2016,June
318,9/20/2015,2015,September
319,6/27/2016,2016,June
320,6/13/2015,2015,June
321,11/4/2015,2015,November
322,2/16/2016,2016,February
323,3/17/2016,2016,March
324,6/5/2015,2015,June
325,9/29/2015,2015,September
326,12/31/2015,2015,December
327,9/23/2015,2015,September
328,10/15/2015,2015,October
329,5/27/2016,2016,May
330,6/2/2015,2015,June
331,7/11/2015,2015,July
332,4/6/2016,2016,April
333,5/12/2016,2016,May
334,9/7/2015,2015,September
335,11/25/2015,2015,November
336,8/19/2015,2015,August
337,8/23/2015,2015,August
338,7/13/2016,2016,July
339,4/8/2015,2015,April
340,6/23/2016,2016,June
341,11/9/2015,2015,November
342,1/1/2016,2016,January
343,8/17/2015,2015,August
344,1/22/2016,2016,January
345,2/21/2016,2016,February
346,3/13/2016,2016,March
347,4/25/2016,2016,April
348,5/15/2016,2016,May
349,6/7/2016,2016,June
350,11/30/2015,2015,November
351,12/9/2015,2015,December
352,2/8/2016,2016,February
353,12/23/2015,2015,December
354,9/15/2015,2015,September
355,6/15/2015,2015,June
356,6/18/2015,2015,June
357,6/24/2015,2015,June
358,2/6/2015,2015,February
359,3/18/2016,2016,March
360,12/14/2015,2015,December
361,5/18/2016,2016,May
362,5/22/2016,2016,May
363,3/11/2015,2015,March
364,10/19/2015,2015,October
365,10/28/2015,2015,October
366,6/14/2015,2015,June
367,10/26/2015,2015,October
368,1/25/2015,2015,January
369,2/1/2015,2015,February
370,2/14/2015,2015,February
371,6/29/2015,2015,June
372,11/16/2015,2015,November
373,12/27/2015,2015,December
374,7/6/2016,2016,July
375,7/5/2016,2016,July
376,7/15/2016,2016,July
377,7/30/2016,2016,July
378,11/12/2015,2015,November
379,1/7/2016,2016,January
380,1/10/2015,2015,January
381,7/17/2015,2015,July
382,12/3/2015,2015,December
383,2/26/2016,2016,February
384,4/3/2015,2015,April
385,4/9/2015,2015,April
386,4/24/2015,2015,April
387,5/2/2015,2015,May
388,3/3/2016,2016,March
389,3/5/2016,2016,March
390,4/3/2016,2016,April
391,5/25/2016,2016,May
392,10/14/2015,2015,October
393,10/29/2015,2015,October
394,11/20/2015,2015,November
395,1/4/2016,2016,January
396,2/25/2016,2016,February
397,3/24/2016,2016,March
398,4/23/2016,2016,April
399,5/17/2016,2016,May
400,6/14/2016,2016,June
401,6/29/2016,2016,June
402,7/26/2016,2016,July
403,9/22/2015,2015,September
404,10/16/2015,2015,October
405,12/22/2015,2015,December
406,7/19/2016,2016,July
407,2/15/2016,2016,February
408,3/4/2016,2016,March
409,2/2/2016,2016,February
410,2/9/2015,2015,February
411,1/9/2015,2015,January
412,2/17/2015,2015,February
413,2/19/2015,2015,February
414,2/21/2015,2015,February
415,3/7/2015,2015,March
416,5/7/2016,2016,May
417,6/8/2016,2016,June
418,8/11/2015,2015,August
419,12/24/2015,2015,December
420,1/12/2016,2016,January
421,3/15/2016,2016,March
422,7/9/2016,2016,July
423,10/12/2015,2015,October
424,11/11/2015,2015,November
425,4/5/2016,2016,April
426,7/14/2016,2016,July
427,7/23/2016,2016,July
428,7/31/2016,2016,July
429,5/10/2016,2016,May
430,7/18/2016,2016,July
431,10/3/2015,2015,October
432,1/19/2016,2016,January
433,5/11/2016,2016,May
434,1/7/2015,2015,January
435,1/1/2015,2015,January
436,5/16/2016,2016,May
437,5/31/2016,2016,May
438,3/25/2016,2016,March
439,3/21/2015,2015,March
440,3/24/2015,2015,March
441,4/12/2016,2016,April
442,4/9/2016,2016,April
443,4/5/2015,2015,April
444,5/6/2015,2015,May
445,9/26/2015,2015,September
446,2/4/2015,2015,February
447,5/5/2015,2015,May
448,5/25/2015,2015,May
449,6/19/2015,2015,June
450,1/14/2015,2015,January
451,7/11/2016,2016,July
452,5/19/2016,2016,May
453,1/2/2015,2015,January
454,1/16/2015,2015,January
455,1/24/2015,2015,January
456,2/13/2015,2015,February
457,2/22/2015,2015,February
458,3/2/2016,2016,March
459,3/2/2015,2015,March
460,2/24/2015,2015,February
461,1/23/2015,2015,January
462,2/10/2015,2015,February
463,2/8/2015,2015,February
464,4/14/2015,2015,April
465,2/3/2015,2015,February
466,4/11/2015,2015,April
467,5/2/2016,2016,May
468,2/16/2015,2015,February
469,7/30/2015,2015,July
470,4/16/2015,2015,April
471,4/17/2015,2015,April
472,3/18/2015,2015,March
473,3/22/2015,2015,March
474,11/14/2015,2015,November
475,3/17/2015,2015,March
476,4/1/2015,2015,April
477,10/24/2015,2015,October
478,1/11/2015,2015,January
479,8/5/2015,2015,August
480,4/18/2015,2015,April
481,3/12/2015,2015,March
482,4/13/2015,2015,April
483,5/27/2015,2015,May
484,5/31/2015,2015,May
485,5/13/2015,2015,May
486,5/23/2015,2015,May
487,5/19/2015,2015,May
488,6/11/2015,2015,June
489,5/18/2015,2015,May
490,3/5/2015,2015,March
491,1/17/2015,2015,January
492,4/28/2015,2015,April
493,7/29/2016,2016,July
494,3/1/2015,2015,March
495,4/15/2015,2015,April
496,1/31/2015,2015,January
497,5/24/2015,2015,May
498,6/10/2015,2015,June
499,6/9/2015,2015,June
500,1/30/2015,2015,January
501,3/19/2015,2015,March
502,3/16/2015,2015,March
503,6/1/2015,2015,June
504,6/26/2015,2015,June
505,6/22/2015,2015,June
506,5/4/2015,2015,May
507,1/12/2015,2015,January
508,6/7/2015,2015,June
509,1/28/2015,2015,January
510,4/19/2015,2015,April
511,5/22/2015,2015,May
512,5/3/2015,2015,May
513,5/26/2015,2015,May
514,2/5/2015,2015,February
515,3/3/2015,2015,March
516,5/14/2015,2015,May
517,3/10/2015,2015,March
518,6/23/2015,2015,June
519,4/7/2015,2015,April
520,1/5/2015,2015,January
521,2/18/2015,2015,February
522,3/25/2015,2015,March
523,3/29/2015,2015,March
524,1/8/2015,2015,January
525,2/11/2015,2015,February
526,2/20/2015,2015,February
527,3/20/2015,2015,March
528,2/25/2015,2015,February
529,4/21/2015,2015,April
530,4/22/2015,2015,April
531,3/14/2015,2015,March
532,1/22/2015,2015,January
533,3/26/2015,2015,March
534,1/26/2015,2015,January
535,3/9/2015,2015,March
536,6/6/2015,2015,June
537,6/28/2015,2015,June
538,7/25/2016,2016,July
539,3/28/2015,2015,March
540,5/10/2015,2015,May
541,5/17/2015,2015,May
542,3/8/2015,2015,March
543,2/28/2015,2015,February
544,5/30/2015,2015,May
545,6/3/2015,2015,June
546,1/20/2015,2015,January
547,5/28/2015,2015,May
548,1/18/2015,2015,January
549,1/3/2015,2015,January
550,3/15/2015,2015,March
551,2/26/2015,2015,February
552,3/27/2015,2015,March
553,5/29/2015,2015,May
554,2/23/2015,2015,February
555,3/4/2015,2015,March
556,4/12/2015,2015,April
557,4/29/2015,2015,April
558,5/12/2015,2015,May
559,4/23/2015,2015,April
560,6/25/2015,2015,June
561,6/16/2015,2015,June
562,1/4/2015,2015,January
563,2/15/2015,2015,February
564,1/19/2015,2015,January
565,4/27/2015,2015,April
566,2/12/2015,2015,February
567,5/15/2015,2015,May
568,2/27/2015,2015,February
569,1/21/2015,2015,January
570,4/6/2015,2015,April
571,6/20/2015,2015,June
572,1/29/2015,2015,January
573,4/26/2015,2015,April
574,3/13/2015,2015,March
575,1/27/2015,2015,January
576,2/7/2015,2015,February
