location_id,Country,State
1,United States,Washington
2,United States,California
3,United States,Oregon
4,France,Essonne
5,France,Yveline
6,United Kingdom,England
7,Germany,Hessen
8,Germany,Hamburg
9,France,Seine Saint Denis
10,Germany,Saarland
11,Germany,Nordrhein-Westfalen
12,Germany,Bayern
13,France,Seine (Paris)
14,France,Pas de Calais
15,France,Moselle
16,France,Hauts de Seine
17,France,Nord
18,France,Seine et Marne
19,France,Loiret
20,France,Charente-Maritime
21,France,Loir et Cher
22,Germany,Brandenburg
23,United States,Alabama
24,France,Val d'Oise
25,France,Val de Marne
26,United States,Minnesota
27,United States,Wyoming
28,United States,Ohio
29,France,Garonne (Haute)
30,United States,Kentucky
31,United States,Texas
32,United States,Missouri
33,France,Somme
34,United States,New York
35,United States,Florida
36,United States,Illinois
37,United States,South Carolina
38,United States,North Carolina
39,United States,Georgia
40,United States,Virginia
41,United States,Mississippi
42,United States,Montana
43,United States,Arizona
44,United States,Massachusetts
45,United States,Utah
